CASEID,cip_10,agegr10,luc_rst,prv,region,sex,pcc_145,pcc_160,plp_110,plp_120,plp_130,plp_140,plp_150,plp_160,tip_10,tip_15,tip_20,tip_25
18066,2,2,1,"24",2,1,2,2,1,1,2,3,1,3,5,3, 3,2
18067,2,1,2,"35",3,1,2,2,1,1,1,1,1,1,5,5, 4,2
18068,2,4,1,"59",5,1,3,2,2,2,1,1,2,1,5,4, 4,1
18069,3,2,1,"24",2,1,2,2,2,2,3,2,2,2,4,3, 2,2
18070,1,5,1,"35",3,1,2,2,1,1,1,1,1,1,7,3, 6,3
18071,4,1,1,"35",3,2,4,2,3,2,3,7,3,3,5,1, 1,1
18072,2,4,1,"35",3,2,2,1,2,7,2,2,2,3,5,5, 5,2
18073,1,6,1,"35",3,2,7,2,1,1,1,1,1,1,5,5, 6,3
18074,3,2,1,"46",4,1,2,2,3,7,3,3,2,3,5,4, 3,3
18075,1,5,1,"48",4,2,2,2,1,1,1,1,1,1,5,3, 4,7
18076,1,5,1,"35",3,2,3,1,1,7,1,2,1,1,5,5, 6,4
18077,1,3,1,"59",5,2,1,2,1,7,1,1,1,1,5,4, 4,3
18078,1,5,1,"12",1,2,2,1,1,1,1,1,1,1,5,4, 4,1
18079,1,2,1,"47",4,1,2,1,1,1,1,1,1,1,5,4, 4,1
18080,1,6,1,"10",1,1,2,2,1,1,1,1,1,1,5,5, 6,7
18081,2,5,1,"35",3,2,2,2,2,1,1,2,2,2,5,2, 4,1
18082,2,5,1,"46",4,2,2,2,2,2,1,2,1,2,5,4, 3,3
18083,1,3,1,"59",5,2,2,1,1,1,1,1,1,1,3,5, 4,3
