CASEID,discrim,dis_10,dis_15,dis_20,dis_25,dis_30,dis_35,dis_40,dis_45,dis_50,dis_55,dis_rind,dis_pl,dts_20,dts_25,dts_30,dts_35,dts_60,dts_65
  246,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  247,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  248,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  249,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  250,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2
  251,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  252,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  253,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  254,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2
  255,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  256,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  257,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  258,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  259,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1
  260,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  261,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  262,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  263,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  264,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  265,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  266,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  267,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  268,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  269,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  270,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  271,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  272,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  273,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  274,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  275,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  276,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  277,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  278,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  279,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  280,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  281,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2
  282,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  283,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  284,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  285,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  286,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  287,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  288,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  289,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  290,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  291,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  292,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  293,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  294,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  295,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  296,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  297,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  298,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  299,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2
  300,1,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2
  301,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  302,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  303,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  304,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  305,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  306,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  307,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  308,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  309,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  310,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  311,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2
  312,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  313,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  314,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  315,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  316,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1
  317,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  318,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  319,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  320,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2
  321,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  322,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  323,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  324,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  325,1,2,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2
  326,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
